line	path	methods	auth
31388	/admin/mt-reapply-filters	GET/ANY	ADMIN_HEADER_OR_QUERY
31471	/admin/mt-dupes	GET/ANY	ADMIN_HEADER_OR_QUERY
31543	/admin/recompute-market-tip-stakes	GET/ANY	ADMIN_HEADER_OR_QUERY
31606	/mt-dm-pipeline	GET/ANY	ADMIN_HEADER_OR_QUERY
31701	/mt-gate-check	GET/ANY	ADMIN_HEADER_OR_QUERY
31774	/admin/mt-promote-diag	GET/ANY	ADMIN_HEADER_OR_QUERY
31890	/mt-shadow-diag	GET/ANY	ADMIN_HEADER_OR_QUERY
31994	/sync-football-espn	GET/ANY	ADMIN_HEADER_OR_QUERY
32037	/sync-pandascore-results	GET/ANY	ADMIN_HEADER_OR_QUERY
32112	/sync-football-sofascore	GET/ANY	ADMIN_HEADER_OR_QUERY
32153	/void-audit	GET/ANY	ADMIN_HEADER_OR_QUERY
32287	/ai-stats	GET/ANY	REQUIRE_ADMIN
32335	/roi-matrix	GET/ANY	NONE
32459	/roi-by-book	GET/ANY	NONE
32556	/tips-produced-rate	GET/ANY	NONE
32657	/roi-by-league	GET/ANY	NONE
32771	/live-vs-pregame-audit	GET/ANY	NONE
32922	/brier-ev-adjustment	GET/ANY	NONE
32979	/clv-kelly-multiplier	GET/ANY	NONE
33029	/clv-decay	GET/ANY	NONE
33078	/time-of-day-mult	GET/ANY	NONE
33125	/hourly-roi	GET/ANY	NONE
33174	/shadow-vs-active	GET/ANY	NONE
33224	/ml-shadow-by-sport	GET/ANY	NONE
33448	/shadow-readiness	GET/ANY	NONE
33448	/tips-readiness	GET/ANY	NONE
33854	/admin/readiness-learner-run	POST,GET	ADMIN_HEADER_OR_QUERY
33866	/admin/readiness-corrections	GET/ANY	ADMIN_HEADER_OR_QUERY
33880	/admin/readiness-corrections-prune	POST,GET	ADMIN_HEADER_OR_QUERY
33895	/admin/readiness-correction-revert	POST,GET	ADMIN_HEADER_OR_QUERY
33912	/equity-curve	GET/ANY	NONE
34027	/tips-history	GET/ANY	NONE
34218	/settle	POST	GLOBAL_GATE_POST
34592	/bankroll-baseline	POST	REQUIRE_ADMIN
34606	/bankroll-baseline	GET	NONE
34613	/settle-sweep	POST	REQUIRE_ADMIN
34627	/overall-summary	GET/ANY	NONE
34918	/models-status	GET/ANY	NONE
34985	/roi	GET/ANY	NONE
35232	/league-roi	GET/ANY	NONE
35354	/img/	GET/ANY	NONE
35369	/dashboard	GET/ANY	NONE
35387	/bi	GET/ANY	NONE
35387	/dashboard-bi	GET/ANY	NONE
35387	/dashboard-bi.html	GET/ANY	NONE
35405	/logs	GET/ANY	NONE
35414	/logs/status	GET/ANY	REQUIRE_ADMIN
35419	/logs/tips	GET/ANY	REQUIRE_ADMIN
35425	/logs/live-matches	GET/ANY	REQUIRE_ADMIN
35430	/logs/history	GET/ANY	REQUIRE_ADMIN
35435	/logs/stream	GET/ANY	REQUIRE_ADMIN
35451	/logs/ingest	POST	REQUIRE_ADMIN
35469	/agents/live-scout	GET/ANY	REQUIRE_ADMIN
35476	/agents/feed-medic	GET/ANY	REQUIRE_ADMIN
35483	/agents/weekly-review	GET/ANY	REQUIRE_ADMIN
35490	/agents/health-sentinel	GET/ANY	REQUIRE_ADMIN
35498	/agents/bankroll-guardian	GET/ANY	REQUIRE_ADMIN
35505	/agents/pre-match-check	GET/ANY	REQUIRE_ADMIN
35513	/agents/model-calibration	GET/ANY	REQUIRE_ADMIN
35520	/agents/cut-advisor	GET/ANY	REQUIRE_ADMIN
35527	/agents/live-storm	GET/ANY	REQUIRE_ADMIN
35534	/agents/ia-health	GET/ANY	REQUIRE_ADMIN
35541	/agents/decision-tree	GET/ANY	REQUIRE_ADMIN
35547	/agents/news-monitor	GET/ANY	REQUIRE_ADMIN
